,Unnamed: 0,Id,Processor_Manufacturer,Processor,GPU_Manufacturer,Memory_Capacity,Memory_Type
0,0,1,AMD,C420,Matrox,2.0,GDDR5
1,1,2,AMD,C680,Matrox,2.0,GDDR5
2,2,3,AMD,C680,Matrox,4.0,GDDR5
3,3,4,AMD,C900,Matrox,4.0,GDDR5
4,4,5,AMD,FireGL V3300,AMD,0.125,GDDR2
5,5,6,AMD,FireGL V3600,AMD,0.25,GDDR2
6,6,7,AMD,FireGL V7350,AMD,1.0,GDDR3
7,7,8,AMD,FireGL V7600,AMD,0.5,GDDR2
8,8,9,AMD,FireMV 2200,AMD,0.125,GDDR
9,9,10,AMD,FireMV 2250,AMD,0.25,GDDR2
10,10,11,AMD,FireMV 2260,AMD,0.25,GDDR2
11,11,12,AMD,FirePro 2270,AMD,0.5,GDDR3
12,12,13,AMD,FirePro 2270,AMD,1.0,GDDR3
13,13,14,AMD,FirePro 2450,AMD,0.25,GDDR3
14,14,15,AMD,FirePro 2450,AMD,0.5,GDDR3
15,15,16,AMD,FirePro 2460,AMD,0.5,GDDR3
16,16,17,AMD,FirePro 2460,AMD,0.5,GDDR5
17,17,18,AMD,FirePro R5000,AMD,2.0,GDDR5
18,18,19,AMD,FirePro RG220,AMD,0.5,GDDR3
19,19,20,AMD,FirePro RG220A,AMD,0.5,GDDR5
20,20,21,AMD,FirePro S10000,AMD,6.0,GDDR5
21,21,22,AMD,FirePro S10000,Club 3D,2.0,GDDR5
22,22,23,AMD,FirePro S10000,Sapphire,6.0,GDDR5
23,23,24,AMD,FirePro S7000,AMD,4.0,GDDR5
24,24,25,AMD,FirePro S7000,AMD,8.0,GDDR5
25,25,26,AMD,FirePro S7000,AMD,16.0,GDDR5
26,26,27,AMD,FirePro S7150,AMD,8.0,GDDR5
27,27,28,AMD,FirePro S7150,AMD,16.0,GDDR5
28,28,29,AMD,FirePro S7150,Club 3D,2.0,GDDR5
29,29,30,AMD,FirePro S7150,PowerColor,2.0,GDDR5
30,30,31,AMD,FirePro S7150,XFX,2.0,GDDR5
31,31,32,AMD,FirePro S9000,AMD,6.0,GDDR5
32,32,33,AMD,FirePro S9000,AMD,12.0,GDDR5
33,33,34,AMD,FirePro S9000,AMD,16.0,GDDR5
34,34,35,AMD,FirePro S9000,AMD,32.0,GDDR5
35,35,36,AMD,FirePro S9050,AMD,12.0,GDDR5
36,36,37,AMD,FirePro S9100,AMD,12.0,GDDR5
37,37,38,AMD,FirePro S9150,AMD,16.0,GDDR5
38,38,39,AMD,FirePro S9300,AMD,8.0,HBM
39,39,40,AMD,FirePro V3800,AMD,0.5,GDDR3
40,40,41,AMD,FirePro V3900,AMD,1.0,GDDR3
41,41,42,AMD,FirePro V4800,AMD,1.0,GDDR5
42,42,43,AMD,FirePro V4900,AMD,1.0,GDDR5
43,43,44,AMD,FirePro V5700,AMD,0.5,GDDR3
44,44,45,AMD,FirePro V5800,AMD,1.0,GDDR5
45,45,46,AMD,FirePro V5900,AMD,2.0,GDDR5
46,46,47,AMD,FirePro V7750,AMD,1.0,GDDR3
47,47,48,AMD,FirePro V7800,AMD,2.0,GDDR5
48,48,49,AMD,FirePro V7900,AMD,2.0,GDDR5
