,FOLD NUM,MEAN ERROR
0,2,-6.810237794961967e-06
1,3,-6.818358052479679e-06
2,4,-6.8090003000834516e-06
3,5,-6.825051967524818e-06
4,6,-6.821673711782167e-06
5,7,-6.814143037366277e-06
6,8,-6.820385918624452e-06
7,9,-6.814232294380453e-06
8,10,-6.817369480078784e-06
9,11,-6.816190184166904e-06
10,12,-6.818214482725792e-06
11,13,-6.817717101806424e-06
12,14,-6.8177102078360065e-06
13,15,-6.815832864083116e-06
14,16,-6.818926813901846e-06
15,17,-6.814557009371047e-06
16,18,-6.818999036119136e-06
17,19,-6.819300256608799e-06
18,20,-6.816129435878548e-06
19,21,-6.81774586701582e-06
20,22,-6.814387124358032e-06
21,23,-6.817170019573228e-06
22,24,-6.817843601893272e-06
23,25,-6.818288653392212e-06
24,26,-6.817406405628474e-06
25,27,-6.817379744721769e-06
26,28,-6.816989140582709e-06
27,29,-6.813672321926909e-06
